farm_id,x,y,county,district,species,production,observed_case,p_new_case
92,431033.714951305,4.64095662700758e6,Fulton,Harding,chicken,broiler_2,false,0.008
93,435232.25765494,4.64567818538515e6,Fulton,Harding,chicken,broiler_2,false,0.006
94,416031.009629535,4.6638204303028e6,Fulton,Hightstown,duck,conventional,false,0.002
95,430684.173753501,4.65292835437256e6,Fulton,Hawthorne,duck,conventional,false,0.0
96,436594.194572915,4.6546170072152e6,Allegheny,Demarest,chicken,broiler_2,false,0.01
97,435425.838217563,4.66855014401702e6,Fulton,Hulmeville,duck,organic,false,0.0
98,419541.157362684,4.63891345762217e6,Fulton,Providence,duck,organic,false,0.002
99,455348.350060491,4.6717430878115e6,Allegheny,Cliffside Park,chicken,broiler_2,false,0.002
100,423713.548478429,4.64021768045266e6,Fulton,Providence,chicken,broiler_2,false,0.012
101,420227.441787684,4.65560810605378e6,Fulton,Hawthorne,duck,conventional,false,0.004
102,433924.829880525,4.6584249225615e6,Fulton,Ocean,chicken,broiler_1,false,0.004
103,445093.808212358,4.66806845047751e6,Allegheny,Aberdeen,chicken,layer,false,0.01
104,409194.338460824,4.65620437439306e6,Fulton,Pleasantville,duck,conventional,false,0.002
105,433868.617636261,4.65634686697304e6,Fulton,Ocean,chicken,layer,false,0.004
106,424650.789000711,4.65714178474062e6,Fulton,Ocean,chicken,broiler_2,false,0.016
107,416160.065531596,4.68131343247111e6,Fulton,Secaucus,duck,conventional,false,0.002
108,427198.185407982,4.64671553166145e6,Fulton,Dublin,duck,conventional,false,0.002
109,418894.704425353,4.64691600359263e6,Fulton,Linwood,chicken,broiler_2,false,0.004
110,409517.80597904,4.65900081285652e6,Fulton,Pleasantville,chicken,broiler_1,false,0.012
111,419736.782333915,4.6694969932773e6,Fulton,Roselle,chicken,broiler_1,false,0.01
112,414541.043611067,4.65011923464936e6,Fulton,Clifton,duck,organic,false,0.004
113,436500.830840032,4.65095386777275e6,Allegheny,Demarest,duck,conventional,false,0.002
114,430990.03781635,4.65372243356333e6,Fulton,Hawthorne,duck,conventional,false,0.0
115,440694.25064516,4.6512706210677e6,Allegheny,Demarest,chicken,broiler_2,false,0.006
116,426509.228471797,4.65227880549261e6,Fulton,Hawthorne,chicken,broiler_2,false,0.016
117,413889.202270023,4.66185916742858e6,Fulton,Hightstown,duck,organic,false,0.0
118,411499.712393329,4.6532169848758e6,Fulton,Pleasantville,chicken,broiler_1,false,0.004
119,407984.267056647,4.64672296854996e6,Fulton,Trenton,duck,organic,false,0.002
120,422251.726647778,4.67115168511734e6,Fulton,Newfield,duck,conventional,false,0.006
121,428328.620677648,4.64924122861273e6,Fulton,Harding,duck,conventional,false,0.0
122,438351.290652948,4.66981238847996e6,Fulton,Hulmeville,duck,conventional,false,0.002
123,416639.731144184,4.64209912009037e6,Fulton,Rockaway,duck,conventional,false,0.0
124,423608.984054352,4.65077496093591e6,Fulton,Hawthorne,chicken,broiler_2,false,0.002
125,414921.450912578,4.64794194043328e6,Fulton,Trenton,chicken,broiler_2,false,0.008
126,414254.81216222,4.647433050068e6,Fulton,Trenton,duck,conventional,false,0.0
127,418999.717651639,4.67425435082752e6,Fulton,Secaucus,duck,conventional,false,0.002
128,409138.232380673,4.65190330972498e6,Fulton,Pleasantville,chicken,broiler_1,false,0.008
129,440094.874480568,4.65747868298549e6,Allegheny,Demarest,duck,conventional,false,0.0
130,421576.261786495,4.66542341071209e6,Fulton,Newfield,chicken,broiler_2,false,0.006
131,441857.366047381,4.66636216850922e6,Allegheny,Aberdeen,duck,conventional,false,0.0
132,409792.47485248,4.64017999056104e6,Fulton,Trenton,duck,conventional,false,0.002
133,435603.69427938,4.67426361615983e6,Fulton,Logan,duck,conventional,false,0.002
134,444762.979966986,4.65945728393063e6,Allegheny,Demarest,chicken,broiler_2,false,0.002
135,411020.465939986,4.65320046186312e6,Fulton,Pleasantville,chicken,broiler_2,false,0.008
136,409903.047135445,4.65649052318048e6,Fulton,Pleasantville,duck,conventional,false,0.002
137,424789.516123136,4.64042580999445e6,Fulton,Providence,duck,organic,false,0.0
138,440292.947812179,4.67657968681543e6,Fulton,Logan,chicken,broiler_2,false,0.008
139,422003.045853142,4.63786801225131e6,Fulton,Providence,chicken,broiler_2,false,0.006
140,415988.415448758,4.66375820072949e6,Fulton,Hightstown,duck,conventional,false,0.006
141,421347.09653273,4.65643893153645e6,Fulton,Clifton,duck,conventional,false,0.002
142,411151.827454814,4.64460335059205e6,Fulton,Trenton,chicken,broiler_1,false,0.008
143,424475.173858439,4.64054834975282e6,Fulton,Dublin,chicken,broiler_2,false,0.008
144,427788.198387002,4.64767792549654e6,Fulton,Dublin,duck,conventional,false,0.002
145,434831.421105329,4.66177149770885e6,Fulton,Hulmeville,chicken,broiler_1,false,0.0
146,433939.549295728,4.647341657732e6,Fulton,Harding,chicken,layer,false,0.022
147,444606.432518403,4.66675814152811e6,Allegheny,Aberdeen,duck,conventional,false,0.004
148,436178.948834964,4.647922830548e6,Fulton,Harding,duck,conventional,false,0.002
149,426837.194002642,4.66868013959547e6,Fulton,Newfield,duck,organic,false,0.002
150,442624.969538698,4.66397656194975e6,Allegheny,Aberdeen,chicken,broiler_2,false,0.008
151,438620.568255594,4.66725645907014e6,Allegheny,Aberdeen,chicken,broiler_1,false,0.0
152,437945.806929424,4.6753787364073e6,Fulton,Logan,duck,conventional,false,0.004
153,419266.500314853,4.66033045252125e6,Fulton,Clifton,duck,conventional,false,0.002
154,422455.366087162,4.67611864893474e6,Fulton,Secaucus,chicken,broiler_1,false,0.012
155,435307.316244312,4.64993889816151e6,Allegheny,Rockleigh,duck,conventional,false,0.0
156,421280.517394141,4.67260929742515e6,Fulton,Roselle,chicken,layer,false,0.012
157,420527.282535191,4.67963230803719e6,Fulton,Secaucus,duck,conventional,false,0.002
158,453858.835326027,4.68174308752501e6,Allegheny,Guttenberg,duck,conventional,false,0.002
159,445268.198725632,4.66099709738532e6,Allegheny,Aberdeen,duck,conventional,false,0.002
160,429412.248682873,4.66519477438417e6,Fulton,Newfield,chicken,broiler_1,false,0.006
161,442744.71328782,4.65222492106432e6,Allegheny,Demarest,chicken,layer,false,0.002
162,424826.342060592,4.65062438404738e6,Fulton,Hawthorne,duck,conventional,false,0.0
163,442940.917026319,4.6680474591139e6,Allegheny,Aberdeen,duck,conventional,false,0.0
164,426182.510960865,4.65966225720392e6,Fulton,Ocean,duck,conventional,false,0.002
165,428122.889088073,4.65387499191814e6,Fulton,Hawthorne,chicken,broiler_1,false,0.004
166,439930.223318152,4.66211520155244e6,Allegheny,Demarest,duck,organic,false,0.0
167,418342.859451204,4.65160301777365e6,Fulton,Clifton,chicken,layer,false,0.006
168,443193.455056924,4.66640844647401e6,Allegheny,Aberdeen,duck,organic,false,0.0
169,434285.855454084,4.66927220663427e6,Fulton,Hulmeville,duck,conventional,false,0.0
170,418016.992308042,4.6813896750467e6,Fulton,Secaucus,duck,conventional,false,0.004
171,438556.003903002,4.66692650620435e6,Allegheny,Aberdeen,duck,conventional,false,0.002
172,442067.537845267,4.67115119949764e6,Allegheny,Aberdeen,duck,conventional,false,0.0
173,418946.224782507,4.67968004651563e6,Fulton,Secaucus,duck,organic,false,0.002
174,410013.877576187,4.64923570181952e6,Fulton,Trenton,duck,organic,false,0.002
175,439682.981887284,4.66382091881769e6,Allegheny,Aberdeen,chicken,broiler_2,false,0.008
176,409889.583993853,4.66012702977009e6,Fulton,Pleasantville,chicken,broiler_1,false,0.01
177,443784.828687179,4.6709510594765e6,Allegheny,Aberdeen,duck,organic,false,0.002
178,440073.444282833,4.67918367645932e6,Fulton,Logan,chicken,broiler_1,false,0.002
179,423178.009968931,4.67369310954123e6,Fulton,Newfield,duck,organic,false,0.002
180,424912.971607334,4.65455090714677e6,Fulton,Hawthorne,chicken,broiler_1,false,0.02
181,430667.254317198,4.64621123630583e6,Fulton,Harding,duck,conventional,false,0.002
182,431747.518903568,4.64114789369087e6,Fulton,Harding,duck,conventional,false,0.002
183,433647.682440626,4.66996849943094e6,Fulton,Hulmeville,chicken,broiler_1,false,0.006
184,439390.023167488,4.66471323509519e6,Allegheny,Aberdeen,duck,conventional,false,0.0
185,440918.178232983,4.6598000418999e6,Allegheny,Demarest,chicken,broiler_1,false,0.008
186,436241.019278419,4.6538557145829e6,Allegheny,Demarest,chicken,broiler_2,false,0.004
187,431729.807820148,4.66713022437323e6,Fulton,Hulmeville,duck,conventional,false,0.004
188,434537.103295874,4.65930049923046e6,Fulton,Ocean,chicken,broiler_2,false,0.008
189,417492.282572613,4.65883362912586e6,Fulton,Clifton,duck,conventional,false,0.0
190,447258.617642999,4.67263976292083e6,Allegheny,Cliffside Park,duck,conventional,false,0.0
191,434651.597785473,4.65399636096356e6,Fulton,Harding,duck,conventional,false,0.0
192,405847.786593704,4.6678654159515e6,Fulton,Washington,duck,conventional,false,0.0
193,406219.321119427,4.6670986812695e6,Fulton,Washington,chicken,broiler_2,false,0.008
194,412693.801799912,4.64219508850601e6,Fulton,Trenton,duck,organic,false,0.002
195,412862.237094939,4.66237980463691e6,Fulton,Hightstown,chicken,broiler_1,false,0.012
196,441485.411491161,4.65037980510579e6,Allegheny,Rockleigh,chicken,broiler_2,false,0.002
197,416237.577903861,4.65017124698936e6,Fulton,Clifton,duck,conventional,false,0.006
198,432387.375535746,4.65776922485969e6,Fulton,Ocean,duck,conventional,false,0.0
199,411443.804718988,4.66311261724162e6,Fulton,Washington,chicken,broiler_2,false,0.008
200,416754.792341894,4.64043043403467e6,Fulton,Rockaway,chicken,broiler_1,false,0.016
201,426621.627700727,4.67726351215422e6,Fulton,Secaucus,duck,conventional,false,0.004
202,418438.563807474,4.68192644520568e6,Fulton,Secaucus,chicken,broiler_2,false,0.006
203,431113.096096323,4.65525190764472e6,Fulton,Ocean,duck,conventional,false,0.002
204,410855.486464399,4.66264173513971e6,Fulton,Hightstown,duck,conventional,false,0.004
205,433214.128633563,4.65755658543273e6,Fulton,Ocean,duck,conventional,false,0.0
206,411033.843726892,4.65266955649419e6,Fulton,Pleasantville,duck,conventional,false,0.002
207,424564.122776988,4.63848994809607e6,Fulton,Providence,chicken,layer,false,0.008
208,439781.54194693,4.65665039432806e6,Allegheny,Demarest,duck,conventional,false,0.0
209,425114.868318261,4.65724528748787e6,Fulton,Hawthorne,chicken,broiler_2,false,0.01
210,435319.575694157,4.67611803843639e6,Fulton,Logan,duck,conventional,false,0.002
211,416012.966095284,4.63656862945525e6,Fulton,Rockaway,chicken,broiler_1,false,0.01
212,426780.598851341,4.6785932065203e6,Fulton,Secaucus,chicken,broiler_2,false,0.01
213,430911.012447395,4.66437942237798e6,Fulton,Hulmeville,chicken,broiler_2,false,0.008
214,422164.552753118,4.63431321810449e6,Fulton,Rockaway,duck,conventional,false,0.002
215,407626.257583542,4.65068034517734e6,Fulton,Trenton,chicken,broiler_1,false,0.006
216,414673.220332666,4.66037462446185e6,Fulton,Hightstown,duck,conventional,false,0.002
217,438961.472852866,4.66995369737707e6,Fulton,Logan,duck,conventional,false,0.002
218,413973.989089755,4.6597440429443e6,Fulton,Hightstown,chicken,broiler_1,false,0.012
219,424719.865163777,4.68002830340435e6,Fulton,Secaucus,duck,organic,false,0.0
220,415003.348368399,4.65437880342674e6,Fulton,Pleasantville,duck,conventional,false,0.0
221,420723.632245731,4.642934408828e6,Fulton,Linwood,chicken,broiler_2,false,0.008
222,419153.621277352,4.67435171385248e6,Fulton,Secaucus,duck,conventional,false,0.0
223,434446.879328431,4.65212580207952e6,Fulton,Harding,chicken,broiler_2,false,0.004
224,416419.465986624,4.65475208017745e6,Fulton,Pleasantville,chicken,broiler_1,false,0.012
225,433151.109345252,4.64461878416171e6,Fulton,Harding,chicken,layer,false,0.0
226,418097.699791796,4.66972800932042e6,Fulton,Roselle,chicken,broiler_2,false,0.008
227,435020.780060217,4.64692047224638e6,Fulton,Harding,chicken,broiler_2,false,0.008
228,428488.057607136,4.64343366297159e6,Fulton,Dublin,chicken,broiler_2,false,0.006
229,425621.637761395,4.66021169094665e6,Fulton,Ocean,chicken,broiler_2,false,0.008
230,432124.722608647,4.67451380497757e6,Fulton,Logan,duck,conventional,false,0.004
231,427121.918115785,4.65183985374308e6,Fulton,Hawthorne,chicken,broiler_2,false,0.008
232,451676.954155609,4.6728746179509e6,Allegheny,Cliffside Park,duck,conventional,false,0.002
233,421481.491238562,4.65792987319559e6,Fulton,Clifton,duck,organic,false,0.002
234,438593.583616566,4.67155811671461e6,Fulton,Logan,chicken,broiler_2,false,0.008
235,406137.993406883,4.6568962806002e6,Fulton,Pleasantville,chicken,broiler_2,false,0.014
236,453025.900050832,4.68191240715468e6,Allegheny,Guttenberg,duck,conventional,false,0.002
237,411081.686420437,4.65711943518354e6,Fulton,Pleasantville,duck,conventional,false,0.004
238,447689.256675657,4.66257802718318e6,Allegheny,Aberdeen,duck,conventional,false,0.004
239,413148.387776429,4.65510736124001e6,Fulton,Pleasantville,chicken,broiler_2,false,0.012
240,428528.392093452,4.64426717325873e6,Fulton,Dublin,duck,conventional,false,0.002
241,436497.809641356,4.67752506300491e6,Fulton,Logan,duck,conventional,false,0.0
242,428763.780923089,4.6479902517345e6,Fulton,Harding,duck,conventional,false,0.0
243,419386.143183635,4.67968766505396e6,Fulton,Secaucus,duck,conventional,false,0.008
244,433528.183998211,4.67374544550088e6,Fulton,Logan,duck,conventional,false,0.004
245,439907.810519097,4.66638487487415e6,Allegheny,Aberdeen,duck,conventional,false,0.0
246,428884.580875953,4.65299937471457e6,Fulton,Harding,duck,conventional,false,0.0
247,433016.101889107,4.65660229842717e6,Fulton,Ocean,chicken,broiler_2,false,0.0
248,435812.360529125,4.65564599940926e6,Fulton,Ocean,duck,conventional,false,0.002
249,414783.34785922,4.66519599875445e6,Fulton,Washington,chicken,broiler_2,false,0.01
250,421587.279543983,4.64059055714566e6,Fulton,Providence,duck,organic,false,0.002
251,428801.600318672,4.64843901750106e6,Fulton,Harding,duck,conventional,false,0.0
252,418397.613788226,4.6400719470155e6,Fulton,Providence,chicken,broiler_2,false,0.014
253,440620.433448329,4.67550936187069e6,Fulton,Logan,duck,conventional,false,0.004
254,421431.509923993,4.67664667800203e6,Fulton,Secaucus,duck,conventional,false,0.004
255,428528.807997571,4.67290669906529e6,Fulton,Logan,duck,conventional,false,0.004
256,413900.803925511,4.6484366130125e6,Fulton,Trenton,duck,conventional,false,0.0
257,429531.883867212,4.6419715542384e6,Fulton,Dublin,duck,conventional,false,0.0
258,439678.899439038,4.64420921022364e6,Allegheny,Rockleigh,chicken,broiler_1,false,0.004
259,423793.591708829,4.65664241181235e6,Fulton,Clifton,duck,conventional,false,0.0
260,416384.145989951,4.67812166049435e6,Fulton,Secaucus,duck,conventional,false,0.004
261,422427.063290538,4.66369110183694e6,Fulton,Newfield,chicken,broiler_2,false,0.004
262,417477.486274216,4.66616049634177e6,Fulton,Roselle,chicken,broiler_1,false,0.006
263,419215.7446253,4.67467468334853e6,Fulton,Secaucus,chicken,broiler_1,false,0.008
264,429499.380392425,4.67650799601108e6,Fulton,Logan,duck,organic,false,0.002
265,424810.244329264,4.65662067060445e6,Fulton,Hawthorne,duck,conventional,false,0.0
266,417262.674757971,4.63968993769736e6,Fulton,Rockaway,duck,conventional,false,0.002
267,423011.547039314,4.66217276007373e6,Fulton,Newfield,chicken,broiler_2,false,0.006
268,417668.796385916,4.66714795070588e6,Fulton,Roselle,duck,conventional,false,0.002
269,420188.361469763,4.65774747025756e6,Fulton,Clifton,chicken,broiler_2,false,0.004
270,430518.944163932,4.6677367795726e6,Fulton,Newfield,chicken,broiler_1,false,0.006
271,419955.383769508,4.67882964180769e6,Fulton,Secaucus,duck,conventional,false,0.002
272,430740.488520084,4.67418968144525e6,Fulton,Logan,duck,conventional,false,0.0
273,443819.093419082,4.66031687911747e6,Allegheny,Demarest,chicken,broiler_2,false,0.01
274,422840.705817568,4.64893285803968e6,Fulton,Linwood,duck,conventional,false,0.0
275,447913.431527811,4.66154495935869e6,Allegheny,Aberdeen,duck,conventional,false,0.0
276,435075.187023544,4.65371695520706e6,Allegheny,Demarest,duck,conventional,false,0.002
277,407325.613144015,4.65849406560417e6,Fulton,Pleasantville,chicken,broiler_2,false,0.01
278,428711.93790461,4.66368903636755e6,Fulton,Ocean,chicken,broiler_1,false,0.008
279,428503.8907588,4.67564769419401e6,Fulton,Logan,duck,conventional,false,0.002
280,422153.592179907,4.63553998632957e6,Fulton,Rockaway,duck,conventional,false,0.004
281,448619.386852844,4.67318937761028e6,Allegheny,Cliffside Park,duck,conventional,false,0.002
282,449722.727359056,4.66035998771697e6,Allegheny,Demarest,duck,organic,false,0.006
283,434387.665027162,4.67797303871475e6,Fulton,Logan,duck,conventional,false,0.002
284,438883.270823632,4.66797771326267e6,Allegheny,Aberdeen,duck,organic,false,0.004
285,425814.661051838,4.6661696378159e6,Fulton,Newfield,chicken,broiler_2,false,0.008
286,453972.686306049,4.67751970866686e6,Allegheny,Cliffside Park,chicken,broiler_2,false,0.006
287,417846.847366965,4.64868912179842e6,Fulton,Linwood,duck,conventional,false,0.0
288,430494.118240102,4.6640859318658e6,Fulton,Hulmeville,chicken,layer,false,0.004
289,411584.919270797,4.64495534380665e6,Fulton,Trenton,chicken,broiler_2,false,0.01
290,421790.22241738,4.66127738382345e6,Fulton,Clifton,duck,conventional,false,0.0
291,410564.551473612,4.63954883815344e6,Fulton,Trenton,duck,conventional,false,0.002
292,419780.241631367,4.64734967078062e6,Fulton,Linwood,duck,conventional,false,0.0
293,415409.933137485,4.66077259991729e6,Fulton,Hightstown,duck,conventional,false,0.002
294,426770.601276659,4.67606109169266e6,Fulton,Secaucus,chicken,broiler_2,false,0.004
295,417585.154569333,4.67034582137657e6,Fulton,Roselle,chicken,broiler_2,false,0.008
296,433126.359000085,4.65423142544985e6,Fulton,Harding,chicken,broiler_2,false,0.002
297,423136.175244169,4.64076481153173e6,Fulton,Providence,duck,conventional,false,0.004
298,428170.787801033,4.66306035652638e6,Fulton,Ocean,chicken,broiler_2,false,0.014
299,443593.78632706,4.66338796101871e6,Allegheny,Aberdeen,chicken,broiler_2,false,0.002
300,445892.536767361,4.67365972470853e6,Allegheny,Cliffside Park,duck,conventional,false,0.002
301,416741.377923422,4.66510537208754e6,Fulton,Washington,chicken,broiler_2,false,0.01
302,430257.608502316,4.65502583045284e6,Fulton,Hawthorne,chicken,broiler_2,false,0.008
303,445037.551059318,4.67829789922697e6,Allegheny,Guttenberg,duck,conventional,false,0.012
304,408784.792079654,4.64895539374178e6,Fulton,Trenton,duck,conventional,false,0.002
305,417726.344641202,4.66172379652671e6,Fulton,Hightstown,chicken,broiler_2,false,0.01
306,427418.307915634,4.66488301500439e6,Fulton,Newfield,duck,conventional,false,0.002
307,444019.482832139,4.65713849655505e6,Allegheny,Demarest,duck,conventional,false,0.0
308,448831.562906831,4.65988533638169e6,Allegheny,Demarest,duck,organic,false,0.0
309,414570.960101428,4.66899625662901e6,Fulton,Roselle,duck,conventional,false,0.004
310,430873.450804726,4.65622732521069e6,Fulton,Ocean,chicken,broiler_2,false,0.004
311,421933.676036849,4.64775828024747e6,Fulton,Linwood,duck,conventional,false,0.004
312,428232.136479423,4.65845543525987e6,Fulton,Ocean,chicken,broiler_2,false,0.008
313,420785.169611762,4.64047976889968e6,Fulton,Providence,chicken,broiler_1,false,0.006
314,414599.543674446,4.656741121063e6,Fulton,Hightstown,chicken,broiler_2,false,0.012
315,421981.303754061,4.67343435377914e6,Fulton,Secaucus,duck,conventional,false,0.0
316,433514.959701859,4.65858936190359e6,Fulton,Ocean,chicken,broiler_1,false,0.002
317,424823.84728863,4.6429277851239e6,Fulton,Dublin,chicken,broiler_2,false,0.008
