farm_id,x,y,county,district,species,production,capacity,date_suspicious,date_confirmed,detection_method,cull_status
7615,429232.352522967,4.70638462238107e6,Lancaster,Bay Head,chicken,broiler_2,3913,2026-01-03,2026-01-06,passive,completed
8752,466289.226504489,4.64736842564004e6,Allegheny,Brigantine,chicken,broiler_2,4488,2026-01-02,2026-01-06,passive,completed
8974,474861.086831305,4.7007294364646e6,Indiana,Corbin City,duck,organic,850,2026-01-01,2026-01-06,passive,completed
2234,429525.282052938,4.54293499293098e6,Berks,Liberty,duck,organic,893,2026-01-06,2026-01-07,passive,completed
2395,425345.122050855,4.52442305250116e6,Berks,Ocean City,chicken,broiler_2,2139,2026-01-04,2026-01-07,passive,completed
2743,434045.285557846,4.52819722781479e6,Berks,Carteret,chicken,broiler_2,1354,2026-01-06,2026-01-07,passive,completed
2936,427267.864199055,4.55891271380539e6,Susquehanna,Lyndhurst,chicken,broiler_2,2580,2026-01-06,2026-01-07,passive,completed
3383,445862.170979023,4.56034348108075e6,Berks,Berlin,chicken,layer,18871,2026-01-05,2026-01-07,passive,completed
4106,428464.402536677,4.56470820773008e6,Susquehanna,Closter,chicken,broiler_1,5074,2026-01-06,2026-01-07,passive,completed
4162,474345.8976913,4.68262816120315e6,Indiana,Ship Bottom,chicken,broiler_2,1139,2026-01-06,2026-01-07,passive,completed
6583,446171.087495712,4.7108295659884e6,Indiana,Woodcliff Lake,chicken,broiler_2,3344,2026-01-06,2026-01-07,passive,completed
3763,441840.607686405,4.56812258953387e6,Susquehanna,Elizabeth,chicken,broiler_2,1387,2026-01-06,2026-01-08,passive,planned
8120,483504.197675779,4.69229374918235e6,Indiana,Buena Vista,duck,conventional,13291,2026-01-06,2026-01-08,passive,in progress
8403,474685.262928668,4.70081094931035e6,Indiana,Corbin City,chicken,broiler_1,6218,,2026-01-08,preshipment,completed
2969,423380.247421691,4.52047928792244e6,Berks,Ocean City,chicken,broiler_2,1549,2026-01-08,2026-01-09,passive,completed
3144,419294.356815244,4.556233835814e6,Cumberland,Hammonton,chicken,broiler_1,3809,2026-01-08,2026-01-09,passive,completed
3311,443865.811188822,4.55236727610705e6,Berks,Bellefonte,chicken,broiler_1,4845,2026-01-07,2026-01-09,passive,in progress
7499,481617.846541954,4.50582134569441e6,Luzerne,Teaneck,duck,conventional,17706,2026-01-06,2026-01-09,passive,in progress
8306,461543.382092097,4.7102344719997e6,Indiana,Morristown,duck,conventional,15947,2026-01-08,2026-01-09,passive,in progress
9041,462033.941768454,4.71958677741713e6,Indiana,Wall,duck,conventional,12783,2026-01-07,2026-01-09,passive,in progress
2396,435691.857486477,4.53797517965199e6,Berks,Hazlet,chicken,broiler_2,1814,2026-01-09,2026-01-10,passive,in progress
2953,428312.95869999,4.52327183534625e6,Berks,Ocean City,duck,organic,881,2026-01-08,2026-01-10,passive,completed
3133,430003.669304644,4.55060250255765e6,Berks,Stratford,chicken,broiler_2,2016,2026-01-09,2026-01-10,passive,completed
3624,432541.379248979,4.57062064212273e6,Lycoming,Mansfield,chicken,broiler_1,3624,2026-01-08,2026-01-10,passive,in progress
4088,445270.063674172,4.55708454214951e6,Berks,Berlin,chicken,broiler_1,5702,,2026-01-10,preshipment,completed
5418,472859.749833618,4.68559128323437e6,Indiana,Bryn Athyn,chicken,broiler_2,3450,2026-01-08,2026-01-10,passive,in progress
6019,446327.568902583,4.56831861414948e6,Berks,Taylor,duck,conventional,14681,2026-01-08,2026-01-10,passive,in progress
8506,478967.456947275,4.69221410457345e6,Indiana,Paterson,chicken,broiler_2,3264,2026-01-06,2026-01-10,passive,in progress
2425,429769.611683156,4.51876201084434e6,Berks,Wallington,chicken,layer,18271,2026-01-10,2026-01-11,passive,planned
2490,424726.542757516,4.54139952309355e6,Berks,Liberty,chicken,broiler_2,823,2026-01-09,2026-01-11,passive,planned
3027,424182.691389579,4.54473791303804e6,Berks,Liberty,chicken,broiler_2,2033,2026-01-10,2026-01-11,passive,planned
3085,440499.484169323,4.53673601655147e6,Berks,Hazlet,chicken,broiler_2,1737,2026-01-09,2026-01-11,passive,planned
3555,436564.166549936,4.57323472902562e6,Susquehanna,Galloway,duck,organic,928,2026-01-10,2026-01-11,passive,planned
3615,440001.931024159,4.55266630009994e6,Berks,Berlin,chicken,broiler_1,3785,2026-01-10,2026-01-11,passive,planned
3899,442623.880310133,4.55221744012523e6,Berks,Bellefonte,chicken,broiler_2,1914,2026-01-09,2026-01-11,passive,planned
5769,475205.364003086,4.69737868481554e6,Indiana,Allamuchy,duck,conventional,16570,2026-01-10,2026-01-11,passive,planned
7510,489162.248571272,4.68720761313073e6,Allegheny,Peapack-Gladstone,duck,conventional,16143,2026-01-10,2026-01-11,passive,in progress
8745,490440.388747007,4.50414964143843e6,Luzerne,Teaneck,chicken,layer,17934,2026-01-10,2026-01-11,passive,planned
952,439912.673550948,4.65816097789942e6,Allegheny,Demarest,chicken,broiler_2,1849,,2026-01-12,contact_tracing,planned
2370,427075.964724394,4.5218884554788e6,Berks,Ocean City,chicken,broiler_2,2658,2026-01-10,2026-01-12,passive,planned
2420,429106.633439974,4.55819878140092e6,Susquehanna,Lyndhurst,chicken,broiler_1,4390,2026-01-11,2026-01-12,passive,planned
2559,425090.109874675,4.52372976844847e6,Berks,Ocean City,chicken,broiler_2,1989,2026-01-10,2026-01-12,passive,planned
2945,427019.671405261,4.55849368293524e6,Susquehanna,Lyndhurst,chicken,broiler_2,518,2026-01-11,2026-01-12,passive,planned
2968,436697.957671626,4.54446603809436e6,Berks,Manalapan,chicken,broiler_2,1258,2026-01-10,2026-01-12,passive,planned
2970,433775.009133916,4.55500059762076e6,Susquehanna,Lyndhurst,chicken,broiler_2,996,2026-01-11,2026-01-12,passive,planned
3013,445560.374145039,4.53465308853794e6,Berks,Arlington,chicken,broiler_2,2147,2026-01-09,2026-01-12,passive,planned
3023,425760.135313043,4.54830351813542e6,Berks,Tenafly,chicken,layer,16913,2026-01-11,2026-01-12,passive,planned
3046,436832.211229398,4.5515832595432e6,Berks,Stratford,chicken,layer,17586,2026-01-11,2026-01-12,passive,planned
3248,451155.971273036,4.5488601894781e6,Berks,Bernardsville,chicken,broiler_2,2128,2026-01-10,2026-01-12,passive,planned
3918,428925.437862849,4.57565368397339e6,Lycoming,Avalon,chicken,layer,18124,2026-01-11,2026-01-12,passive,planned
5546,480283.378753759,4.50812062929304e6,Luzerne,Teaneck,duck,organic,482,2026-01-09,2026-01-12,passive,planned
7375,451526.109393302,4.60006195904088e6,Susquehanna,Keansburg,chicken,broiler_2,3203,2026-01-09,2026-01-12,passive,planned
7683,488049.324772737,4.67226952833931e6,Allegheny,Colts Neck,chicken,broiler_2,2755,2026-01-09,2026-01-12,passive,planned
7721,485883.622077725,4.69529557413421e6,Indiana,Stockton,chicken,broiler_1,5292,,2026-01-12,preshipment,planned
9102,449847.62530469,4.57316818284906e6,Susquehanna,Kingwood,duck,conventional,15917,2026-01-11,2026-01-12,passive,planned
2243,442845.11515946,4.53066742318795e6,Berks,Arlington,duck,conventional,14383,2026-01-12,2026-01-13,passive,planned
2319,425953.992254835,4.55089508275598e6,Berks,Tenafly,duck,organic,1298,2026-01-11,2026-01-13,passive,planned
2438,441196.813876669,4.54189262414807e6,Berks,Sayreville,chicken,broiler_1,6637,2026-01-11,2026-01-13,passive,planned
2485,439601.955701387,4.52920677948896e6,Berks,Carteret,duck,organic,480,2026-01-12,2026-01-13,passive,planned
2495,411815.927010222,4.54976781316439e6,Cumberland,Roxbury,chicken,broiler_2,1136,2026-01-11,2026-01-13,passive,planned
2533,441516.914508697,4.54770415119332e6,Berks,Manalapan,duck,conventional,15418,2026-01-11,2026-01-13,passive,planned
2610,440554.149453913,4.54202051975363e6,Berks,Sayreville,chicken,broiler_2,602,2026-01-11,2026-01-13,passive,planned
2996,430809.24568303,4.537436381113e6,Berks,Fairfield,chicken,broiler_2,1267,2026-01-12,2026-01-13,passive,planned
3630,424225.922882264,4.57172429698256e6,Lycoming,Avalon,chicken,broiler_2,1294,2026-01-12,2026-01-13,passive,planned
5229,480927.895608575,4.7284845025739e6,Indiana,Wales,duck,organic,1105,2026-01-10,2026-01-13,passive,planned
6467,437523.48830002,4.59479310579393e6,Susquehanna,Fair Lawn,chicken,broiler_2,2685,2026-01-11,2026-01-13,passive,planned
6685,482567.887312622,4.68872521023194e6,Indiana,Paterson,chicken,broiler_2,2757,2026-01-12,2026-01-13,passive,planned
7661,431544.45901129,4.61240188134587e6,Susquehanna,Commercial,chicken,broiler_2,3105,2026-01-11,2026-01-13,passive,planned
7716,432557.176785606,4.58434519158073e6,Susquehanna,Mount Holly,chicken,layer,17749,2026-01-11,2026-01-13,passive,planned
