county,district,n_farms,n_existing_cases,expected_new_cases,max_farm_risk,n_farms_at_risk
Schuylkill,Frenchtown,20,0,0.12,0.018,17
Susquehanna,Tinicum,5,0,0.12,0.05,5
Cumberland,Mendham,35,0,0.12,0.008,27
Cumberland,Somerdale,21,0,0.12,0.014,20
Cumberland,Lawnside,21,0,0.12,0.012,18
Indiana,Boonton,10,0,0.12,0.032,10
Schuylkill,Watchung,19,0,0.12,0.014,17
Berks,Woodbridge,9,0,0.12,0.02,9
Cumberland,Hammonton,41,1,0.11,0.01,24
Lycoming,Haddonfield,17,0,0.11,0.014,15
Venango,Port Republic,16,0,0.11,0.014,14
Indiana,Paterson,13,2,0.11,0.026,9
Susquehanna,Pennington,6,0,0.11,0.042,6
Schuylkill,Allendale,14,0,0.11,0.02,13
Cumberland,Camden,18,0,0.11,0.016,16
Cumberland,Harvey Cedars,30,0,0.11,0.012,24
Indiana,Bryn Athyn,13,1,0.11,0.022,10
Susquehanna,Surf City,7,0,0.11,0.028,7
Fulton,Verona,21,0,0.11,0.014,18
Lancaster,Plumsted,14,0,0.11,0.016,13
Luzerne,Haworth,24,0,0.11,0.012,22
Cumberland,Alexandria,23,0,0.11,0.012,17
Luzerne,Old Bridge,25,0,0.11,0.018,18
Mercer,Benner,17,0,0.11,0.018,15
Venango,Ambler,23,0,0.11,0.012,19
Venango,Weymouth,17,0,0.11,0.014,15
Lancaster,Branchville,30,1,0.11,0.024,20
Venango,Eatontown,15,0,0.11,0.016,14
Fulton,Lincoln Park,28,0,0.11,0.01,21
Mifflin,Middletown,14,0,0.11,0.016,13
Berks,Arlington,37,3,0.1,0.008,27
Berks,Little Falls,40,0,0.1,0.012,20
Cumberland,Hackensack,21,0,0.1,0.014,15
Blair,Hopatcong,18,0,0.1,0.014,16
Indiana,Little Ferry,9,1,0.1,0.032,8
Indiana,Bedminster,4,0,0.1,0.048,4
Berks,Liberty,38,4,0.1,0.012,23
Schuylkill,Glassboro,21,0,0.1,0.014,16
Luzerne,Prospect Park,18,0,0.1,0.014,14
Blair,Alloway,20,0,0.1,0.016,16
Susquehanna,Frelinghuysen,8,0,0.1,0.032,8
Blair,Butler,26,0,0.1,0.012,18
Fulton,Sparta,19,0,0.1,0.016,15
Venango,Kinnelon,21,0,0.1,0.016,14
Indiana,Ship Bottom,12,1,0.1,0.022,11
Cumberland,Longport,19,0,0.1,0.012,17
Lycoming,Hoboken,21,0,0.1,0.014,17
Schuylkill,Kenilworth,18,0,0.1,0.012,16
Susquehanna,Egg Harbor,11,0,0.1,0.03,10
Mifflin,Riverton,21,0,0.1,0.016,18
Berks,Stow Creek,11,1,0.1,0.024,8
Venango,Ridgewood Village,15,0,0.1,0.014,14
Berks,Franklin Lakes,21,0,0.1,0.018,16
Luzerne,Woodstown,18,0,0.1,0.012,14
Mercer,Ogdensburg,15,0,0.1,0.018,13
Lancaster,Scotch Plains,24,0,0.1,0.014,19
Lycoming,Readington,20,0,0.1,0.016,17
Blair,Woodbine,15,0,0.1,0.016,14
Mifflin,Stanhope,16,0,0.1,0.016,14
Venango,Maurice River,20,0,0.1,0.016,14
Blair,Woodbury,21,0,0.1,0.012,15
Susquehanna,Newark,24,0,0.1,0.036,12
Lycoming,Swedesboro,15,0,0.09,0.014,15
Cumberland,Estell Manor,26,0,0.09,0.012,19
Berks,Waterford,19,0,0.09,0.012,15
Lycoming,Barnegat,13,0,0.09,0.016,12
Cumberland,Roxbury,37,1,0.09,0.01,24
Cumberland,Bergenfield,15,0,0.09,0.022,12
Berks,Bernardsville,16,1,0.09,0.022,10
Lancaster,Westville,16,0,0.09,0.016,12
Berks,Helmetta,23,0,0.09,0.014,19
Venango,Deptford,13,0,0.09,0.016,12
Indiana,Woodcliff Lake,12,1,0.09,0.028,11
Susquehanna,Englewood,4,0,0.09,0.036,4
Susquehanna,Barrington,11,0,0.09,0.038,9
Indiana,Buena Vista,10,1,0.09,0.024,8
Mercer,White,14,0,0.09,0.02,13
Luzerne,River,13,0,0.09,0.016,10
Cumberland,Avon-by-the-Sea,13,0,0.09,0.016,13
Lancaster,Emerson,27,0,0.09,0.016,16
Berks,Elk,27,0,0.09,0.01,18
Blair,Stillwater,22,0,0.09,0.018,13
Mercer,Bass River,16,0,0.09,0.016,12
Indiana,Allamuchy,6,1,0.09,0.034,5
Susquehanna,Commercial,31,1,0.09,0.01,22
Lycoming,Maple Shade,16,0,0.09,0.014,15
Schuylkill,State College,20,0,0.09,0.012,16
Schuylkill,Salem,15,0,0.09,0.02,12
Indiana,Old Tappan,4,0,0.09,0.032,4
Cumberland,Bridgeton,17,0,0.09,0.012,14
Venango,Plainsboro,14,0,0.08,0.014,13
Cumberland,Hillsdale,13,0,0.08,0.016,13
Lycoming,Absecon,24,0,0.08,0.008,21
Lancaster,Kearny,16,0,0.08,0.014,13
Luzerne,Norristown,17,0,0.08,0.01,14
Luzerne,Union City,17,0,0.08,0.018,10
Blair,Bradley Beach,17,0,0.08,0.014,12
Lycoming,Tavistock,13,0,0.08,0.014,11
Lycoming,Limerick,14,0,0.08,0.014,12
Schuylkill,Summit,11,0,0.08,0.014,10
Lycoming,Woolwich,13,0,0.08,0.018,11
Luzerne,Roselle Park,15,0,0.08,0.022,12
Mifflin,Folsom,14,0,0.08,0.016,12
Berks,Belleville,6,1,0.08,0.032,5
Lycoming,New Hanover,12,0,0.08,0.02,9
Allegheny,Ridgefield Park Village,3,0,0.08,0.044,3
Mifflin,River Vale,10,0,0.08,0.022,8
Mifflin,Edgewater,31,0,0.08,0.01,16
Berks,Carteret,30,2,0.08,0.01,21
Cumberland,Highlands,16,0,0.08,0.016,13
Schuylkill,Cape May,12,0,0.08,0.014,9
Lycoming,Haledon,12,0,0.08,0.014,9
Berks,Tenafly,39,3,0.08,0.01,20
Lancaster,Skippack,21,0,0.08,0.012,18
Venango,Red Bank,24,0,0.08,0.012,16
Luzerne,Tullytown,15,0,0.08,0.014,13
Schuylkill,Bethlehem,12,0,0.08,0.012,12
Mercer,Atlantic City,18,0,0.08,0.018,14
Mifflin,Morris Plains,20,0,0.08,0.014,14
Cumberland,Perkiomen,13,0,0.08,0.016,10
Venango,Eastampton,15,0,0.08,0.014,15
Mercer,Mount Arlington,19,0,0.08,0.012,15
Mercer,Weehawken,9,0,0.08,0.018,8
Cumberland,Ferguson,17,0,0.08,0.018,14
Berks,Freehold,25,0,0.08,0.008,19
Fulton,Alpha,19,0,0.08,0.012,15
Lycoming,Island Heights,15,0,0.08,0.014,13
Luzerne,Riverdale,14,0,0.08,0.012,12
Lycoming,Lebanon,16,0,0.08,0.014,13
Mercer,Clinton,12,0,0.08,0.016,10
Cumberland,Wyckoff,11,0,0.08,0.014,8
Susquehanna,Green,3,0,0.08,0.034,3
Mercer,Harrington Park,16,0,0.08,0.012,13
Schuylkill,Hillsborough,10,0,0.08,0.014,9
Schuylkill,Potter,12,0,0.08,0.014,10
Lancaster,Union Beach,16,0,0.07,0.012,12
Mifflin,Cherry Hill,13,0,0.07,0.014,13
Indiana,Paramus,4,0,0.07,0.03,4
Lycoming,Mansfield,14,1,0.07,0.032,8
Venango,Moreland,11,0,0.07,0.016,8
Cumberland,Montvale,26,0,0.07,0.008,16
Berks,Pennsville,7,1,0.07,0.022,6
Mifflin,Netcong,9,0,0.07,0.014,9
Luzerne,Merchantville,14,0,0.07,0.018,9
Cumberland,Edison,14,0,0.07,0.012,10
Venango,Cinnaminson,13,0,0.07,0.016,10
Cumberland,Millstone,11,0,0.07,0.018,8
Lancaster,Park Ridge,10,0,0.07,0.026,6
Mercer,Oceanport,13,0,0.07,0.016,12
Venango,New Brunswick,9,0,0.07,0.016,7
Indiana,Lafayette,7,0,0.07,0.024,6
Blair,Audubon,10,0,0.07,0.022,9
Mercer,Lambertville,16,0,0.07,0.014,14
Susquehanna,Montgomery,15,0,0.07,0.012,10
Mifflin,Roosevelt,13,0,0.07,0.018,11
Blair,Woodbury Heights,16,0,0.07,0.012,12
Indiana,Palisades Park,9,0,0.07,0.022,8
Schuylkill,Rahway,9,0,0.07,0.016,9
Mifflin,Hillside,12,0,0.07,0.014,12
Schuylkill,Highland Park,11,0,0.07,0.018,8
Lancaster,Alpine,8,0,0.07,0.02,6
Cumberland,Belvidere,20,0,0.07,0.014,15
Blair,Hatboro,14,0,0.07,0.014,12
Cumberland,Spring Lake,12,0,0.07,0.012,12
Cumberland,Pequannock,15,0,0.07,0.014,13
Venango,Laurel Springs,11,0,0.07,0.018,10
Lycoming,Monroe,18,0,0.07,0.012,11
Lancaster,Norriton,23,1,0.07,0.01,15
Berks,Stratford,28,3,0.07,0.012,19
Indiana,Ewing,13,0,0.07,0.018,12
Blair,Loch Arbour Village,13,0,0.07,0.012,10
Lancaster,Shiloh,15,0,0.07,0.01,11
Mercer,Middle,13,0,0.06,0.022,12
Fulton,Byram,11,0,0.06,0.014,9
Cumberland,New Providence,9,0,0.06,0.018,7
Blair,Ventnor City,15,0,0.06,0.012,12
Lancaster,High Bridge,13,0,0.06,0.02,11
Mifflin,Penns Grove,11,0,0.06,0.01,9
Cumberland,Bellmawr,13,0,0.06,0.014,13
Berks,Chatham,22,0,0.06,0.008,13
Schuylkill,Dover,13,0,0.06,0.01,10
Fulton,Delaware,14,0,0.06,0.012,10
Blair,Haddon Heights,11,0,0.06,0.016,8
Venango,Hamilton,10,0,0.06,0.018,9
Cumberland,Magnolia,12,0,0.06,0.018,7
Lancaster,Chester,17,0,0.06,0.008,14
Lycoming,Califon,10,0,0.06,0.016,9
Cumberland,Moonachie,11,0,0.06,0.014,8
Fulton,Falls,17,0,0.06,0.018,11
Berks,Sea Bright,22,0,0.06,0.008,16
Blair,New Britain,23,0,0.06,0.014,12
Schuylkill,Linden,12,0,0.06,0.012,10
Schuylkill,Neptune,15,0,0.06,0.014,11
Luzerne,Curtin,13,0,0.06,0.014,11
Cumberland,Ringwood,10,0,0.06,0.02,8
Berks,Haddon,13,0,0.06,0.014,10
Cumberland,Windsor,11,0,0.06,0.018,10
Venango,Woodland Park,10,0,0.06,0.018,9
Mifflin,Livingston,7,0,0.06,0.016,7
Schuylkill,Worth,11,0,0.06,0.012,10
Susquehanna,Palmyra,17,0,0.06,0.016,10
Mercer,Wayne,18,0,0.06,0.01,13
Mifflin,Englishtown,9,0,0.06,0.018,9
Berks,Manalapan,25,2,0.06,0.01,15
Susquehanna,Nutley,3,0,0.06,0.028,3
Susquehanna,Dumont,3,0,0.06,0.044,3
Cumberland,Manchester,11,0,0.06,0.016,6
Fulton,Hilltown,11,0,0.06,0.012,7
Lancaster,Mount Ephraim,18,0,0.06,0.012,12
Mifflin,Elsinboro,13,0,0.06,0.012,10
Lycoming,New York,20,0,0.06,0.016,11
Fulton,Green Lane,12,0,0.06,0.014,10
Mifflin,Westfield,13,0,0.06,0.01,11
Schuylkill,Brick,13,0,0.06,0.012,10
Blair,Denville,16,0,0.06,0.012,13
Mifflin,Piscataway,9,0,0.06,0.012,7
Indiana,Fort Lee,2,0,0.06,0.048,2
Fulton,Somers Point,10,0,0.06,0.01,7
Cumberland,Frederick,12,0,0.06,0.014,9
Cumberland,Medford Lakes,13,0,0.06,0.012,10
Indiana,Jackson,4,0,0.06,0.02,4
Venango,Clark,14,0,0.05,0.012,10
Berks,Hazlet,25,2,0.05,0.008,13
Mercer,Garfield,6,0,0.05,0.022,5
Schuylkill,Oaklyn,11,0,0.05,0.012,9
Mifflin,Springfield,9,0,0.05,0.014,8
Lycoming,Horsham,19,0,0.05,0.008,13
Schuylkill,Victory Gardens,17,0,0.05,0.01,13
Lycoming,Berkeley Heights,15,0,0.05,0.014,10
Mifflin,Elmwood Park,9,0,0.05,0.018,7
Mercer,Mannington,8,0,0.05,0.016,6
Luzerne,Fieldsboro,9,0,0.05,0.014,8
Lycoming,Montclair,8,0,0.05,0.01,7
Berks,Ocean City,33,5,0.05,0.006,13
Venango,Wildwood,14,0,0.05,0.01,10
Cumberland,Bergen,10,0,0.05,0.014,9
Blair,Hopewell,11,0,0.05,0.01,9
Lycoming,Cranbury,12,0,0.05,0.014,9
Susquehanna,Knowlton,3,0,0.05,0.032,3
Luzerne,Lakehurst,10,0,0.05,0.01,8
Luzerne,Franklin,9,0,0.05,0.014,7
Berks,Sayreville,25,3,0.05,0.006,13
Cumberland,Jenkintown,9,0,0.05,0.012,8
Schuylkill,Englewood Cliffs,7,0,0.05,0.014,6
Indiana,Bridgewater,2,0,0.05,0.036,2
Mifflin,Margate City,10,0,0.05,0.014,7
Schuylkill,Hamburg,8,0,0.05,0.012,7
Berks,Bellefonte,16,2,0.04,0.01,9
Berks,Bogota,14,0,0.04,0.01,11
Susquehanna,Bernards,1,0,0.04,0.044,1
Mifflin,Downe,8,0,0.04,0.022,5
Lancaster,Pitman,13,0,0.04,0.012,10
Mifflin,Penndel,10,0,0.04,0.012,8
Blair,Perth Amboy,5,0,0.04,0.012,4
Luzerne,Pemberton,7,0,0.04,0.016,6
Indiana,Voorhees,2,0,0.04,0.034,2
Susquehanna,Shamong,2,0,0.04,0.036,2
Lycoming,Avalon,23,2,0.04,0.006,12
Mifflin,Wenonah,14,0,0.04,0.01,11
Schuylkill,Fanwood,14,0,0.04,0.012,9
Lancaster,Mantua,9,0,0.04,0.014,7
Mercer,Greenville,9,0,0.04,0.016,6
Mercer,Deerfield,11,0,0.04,0.01,8
Berks,Wallington,16,1,0.04,0.008,12
Venango,Long Beach,10,0,0.04,0.01,9
Mifflin,Wood-Ridge,4,0,0.04,0.016,4
Mifflin,Green Brook,6,0,0.04,0.018,5
Mercer,Mullica,4,0,0.04,0.014,4
Schuylkill,Blairstown,7,0,0.04,0.012,6
Lycoming,National Park,7,0,0.04,0.014,5
Mercer,Oradell,10,0,0.04,0.01,7
Berks,Lake Como,11,0,0.04,0.01,7
Cumberland,Deal,10,0,0.03,0.008,8
Cumberland,Shrewsbury,7,0,0.03,0.008,5
Mercer,Atlantic Highlands,9,0,0.03,0.018,4
Luzerne,Andover,10,0,0.03,0.012,7
Schuylkill,Westampton,5,0,0.03,0.008,5
Lancaster,Bay Head,12,1,0.03,0.008,9
Blair,Tabernacle,11,0,0.03,0.012,6
Susquehanna,Fair Lawn,6,2,0.03,0.022,4
Schuylkill,Woodlynne,7,0,0.03,0.012,6
Cumberland,Essex Fells,5,0,0.03,0.01,5
Susquehanna,Winfield,4,1,0.03,0.026,2
Indiana,Hanover,1,0,0.03,0.032,1
Luzerne,Morris,7,0,0.03,0.014,5
Mifflin,Chesterfield,11,0,0.03,0.012,7
Lancaster,Runnemede,6,0,0.03,0.01,5
Berks,Perkasie,4,0,0.03,0.012,4
Lycoming,Willingboro,10,0,0.03,0.006,8
Lancaster,Brunswick,8,0,0.03,0.008,7
Schuylkill,Bloomfield,7,0,0.03,0.016,4
Berks,Fairfield,13,1,0.03,0.012,5
Venango,River Edge,8,0,0.03,0.01,6
Mercer,Roseland,7,0,0.03,0.01,6
Blair,Riverside,5,0,0.03,0.012,4
Blair,Glen Rock,6,0,0.03,0.012,4
Schuylkill,Independence,11,0,0.03,0.012,5
Cumberland,Bound Brook,6,0,0.03,0.016,4
Cumberland,Ridgefield,7,0,0.03,0.008,7
Indiana,Madison,2,0,0.03,0.022,2
Fulton,Little Egg Harbor,5,0,0.02,0.014,4
Schuylkill,Mahwah,2,0,0.02,0.016,2
Venango,Northvale,11,0,0.02,0.006,7
Berks,Edgewater Park,1,0,0.02,0.024,1
Berks,Brooklawn,5,0,0.02,0.01,4
Venango,Keyport,5,0,0.02,0.01,4
Lancaster,Waldwick,9,0,0.02,0.004,8
Lancaster,Rocky Hill,5,0,0.02,0.016,4
Blair,Mantoloking,5,0,0.02,0.012,3
Blair,Harmony,6,0,0.02,0.01,4
Schuylkill,Silverdale,3,0,0.02,0.01,3
Allegheny,Warminster,1,0,0.02,0.02,1
Mifflin,Cresskill,4,0,0.02,0.008,3
Mifflin,Jamesburg,6,0,0.02,0.012,4
Mifflin,Seaside Heights,5,0,0.02,0.008,3
Luzerne,Dennis,4,0,0.02,0.01,3
Mifflin,Saddle Brook,6,0,0.02,0.006,5
Mercer,Delanco,3,0,0.02,0.014,3
Lancaster,Howell,9,0,0.02,0.006,7
Mifflin,Wantage,1,0,0.02,0.016,1
Lycoming,Hasbrouck Heights,1,0,0.02,0.016,1
Lancaster,Phillipsburg,8,0,0.02,0.004,6
Blair,Bloomsbury,6,0,0.02,0.008,3
Blair,Buena,3,0,0.01,0.006,3
Susquehanna,Gibbsboro,1,0,0.01,0.014,1
Fulton,Rochelle Park,2,0,0.01,0.012,2
Lancaster,Hampton,5,0,0.01,0.006,3
Lycoming,Cheltenham,5,0,0.01,0.008,3
Cumberland,Teterboro,4,0,0.01,0.01,2
Lycoming,Ramsey,9,0,0.01,0.004,4
Lancaster,Carneys Point,4,0,0.01,0.006,3
Lancaster,Woodland,4,0,0.01,0.008,2
Cumberland,Florham Park,3,0,0.01,0.006,2
Susquehanna,Vernon,1,0,0.01,0.01,1
Blair,Mount Laurel,1,0,0.01,0.01,1
Susquehanna,Hackettstown,7,0,0.01,0.004,3
Luzerne,Tinton Falls,5,0,0.01,0.006,2
Mercer,Walker,3,0,0.01,0.008,2
Lycoming,Midland Park,3,0,0.01,0.01,1
Mifflin,Gloucester,4,0,0.01,0.004,3
Blair,Winslow,1,0,0.01,0.008,1
Lancaster,Lavallette,3,0,0.01,0.004,3
Lancaster,Hope,2,0,0.01,0.004,2
Berks,Ocean Gate,4,0,0.01,0.004,2
Fulton,Spotswood,1,0,0.01,0.006,1
Lycoming,Holmdel,1,0,0.01,0.006,1
Mercer,Hi-Nella,1,0,0.01,0.006,1
Fulton,Boggs,2,0,0.01,0.004,2
Mercer,Egg Harbor City,3,0,0.01,0.004,2
Lancaster,Rockledge,4,0,0.0,0.004,1
Berks,Pohatcong,1,0,0.0,0.004,1
Mifflin,Clementon,1,0,0.0,0.004,1
Berks,Southampton,2,0,0.0,0.004,1
Mifflin,Garwood,2,0,0.0,0.002,1
Berks,Allenhurst,2,0,0.0,0.002,1
Venango,Hardwick,1,0,0.0,0.002,1
Berks,Patton,2,0,0.0,0.002,1
Blair,Asbury Park,1,0,0.0,0.002,1
Schuylkill,Frankford,1,0,0.0,0.002,1
Blair,Beverly,1,0,0.0,0.002,1
Mercer,Newton,1,0,0.0,0.002,1
Lancaster,Glen Ridge,1,0,0.0,0.0,0
Luzerne,Oakland,1,0,0.0,0.0,0
Lycoming,Little Silver,2,0,0.0,0.0,0
