β_duck,chicken_susceptibility_share,duck_susceptibility_share,implied_chicken_rr
0.3176,0.7472,0.2528,3.15
0.2186,0.8111,0.1889,4.57
0.2403,0.7962,0.2038,4.16
0.3434,0.7321,0.2679,2.91
0.1861,0.8345,0.1655,5.37
0.2609,0.7825,0.2175,3.83
0.2554,0.7861,0.2139,3.92
0.2022,0.8227,0.1773,4.95
0.1666,0.8493,0.1507,6.0
0.1956,0.8276,0.1724,5.11
0.2556,0.786,0.214,3.91
0.257,0.785,0.215,3.89
0.2446,0.7933,0.2067,4.09
0.2198,0.8103,0.1897,4.55
0.1989,0.8252,0.1748,5.03
0.2052,0.8206,0.1794,4.87
0.2986,0.7586,0.2414,3.35
0.2013,0.8234,0.1766,4.97
0.2096,0.8175,0.1825,4.77
0.1766,0.8417,0.1583,5.66
0.2202,0.81,0.19,4.54
0.2239,0.8074,0.1926,4.47
0.2141,0.8142,0.1858,4.67
0.2117,0.816,0.184,4.72
0.3099,0.7518,0.2482,3.23
0.2359,0.7992,0.2008,4.24
0.3029,0.756,0.244,3.3
0.2323,0.8016,0.1984,4.31
0.2356,0.7994,0.2006,4.24
0.1969,0.8266,0.1734,5.08
0.2407,0.7959,0.2041,4.15
0.2234,0.8077,0.1923,4.48
0.4612,0.6705,0.3295,2.17
0.2473,0.7915,0.2085,4.04
0.2558,0.7858,0.2142,3.91
0.2607,0.7826,0.2174,3.84
0.2891,0.7645,0.2355,3.46
0.2488,0.7905,0.2095,4.02
0.1436,0.8673,0.1327,6.96
0.2072,0.8192,0.1808,4.83
0.2695,0.7769,0.2231,3.71
0.3905,0.7062,0.2938,2.56
0.2104,0.8169,0.1831,4.75
0.2564,0.7854,0.2146,3.9
0.3014,0.757,0.243,3.32
0.232,0.8018,0.1982,4.31
0.2205,0.8097,0.1903,4.53
0.1653,0.8503,0.1497,6.05
0.2369,0.7985,0.2015,4.22
0.1428,0.868,0.132,7.0
0.3588,0.7235,0.2765,2.79
0.2996,0.758,0.242,3.34
0.202,0.8229,0.1771,4.95
0.2305,0.8028,0.1972,4.34
0.1799,0.8392,0.1608,5.56
0.3438,0.7319,0.2681,2.91
0.2627,0.7813,0.2187,3.81
0.1649,0.8506,0.1494,6.07
0.256,0.7857,0.2143,3.91
0.246,0.7924,0.2076,4.07
0.2751,0.7733,0.2267,3.63
0.1654,0.8502,0.1498,6.04
0.2356,0.7993,0.2007,4.24
0.1647,0.8507,0.1493,6.07
0.2472,0.7915,0.2085,4.04
0.316,0.7481,0.2519,3.16
0.3264,0.742,0.258,3.06
0.3455,0.731,0.269,2.89
0.2356,0.7993,0.2007,4.24
0.0936,0.9093,0.0907,10.68
0.1952,0.8279,0.1721,5.12
0.1963,0.827,0.173,5.09
0.2124,0.8155,0.1845,4.71
0.2319,0.8019,0.1981,4.31
0.3,0.7578,0.2422,3.33
0.2054,0.8205,0.1795,4.87
0.1889,0.8325,0.1675,5.29
0.277,0.7722,0.2278,3.61
0.2694,0.777,0.223,3.71
0.2648,0.78,0.22,3.78
0.3773,0.7133,0.2867,2.65
0.3694,0.7176,0.2824,2.71
0.2823,0.7688,0.2312,3.54
0.1757,0.8423,0.1577,5.69
0.1715,0.8455,0.1545,5.83
0.2888,0.7647,0.2353,3.46
0.1764,0.8418,0.1582,5.67
0.1969,0.8266,0.1734,5.08
0.3021,0.7565,0.2435,3.31
0.2622,0.7816,0.2184,3.81
0.2154,0.8134,0.1866,4.64
0.2598,0.7832,0.2168,3.85
0.2152,0.8135,0.1865,4.65
0.1841,0.836,0.164,5.43
0.2077,0.8188,0.1812,4.81
0.2131,0.815,0.185,4.69
0.1612,0.8535,0.1465,6.2
0.1747,0.8431,0.1569,5.72
0.3018,0.7567,0.2433,3.31
0.2227,0.8082,0.1918,4.49
0.2193,0.8106,0.1894,4.56
0.1348,0.8744,0.1256,7.42
0.2383,0.7975,0.2025,4.2
0.2908,0.7635,0.2365,3.44
0.2054,0.8205,0.1795,4.87
0.2224,0.8085,0.1915,4.5
0.2865,0.7661,0.2339,3.49
0.2049,0.8208,0.1792,4.88
0.3119,0.7506,0.2494,3.21
0.2495,0.79,0.21,4.01
0.2493,0.7902,0.2098,4.01
0.2798,0.7703,0.2297,3.57
0.2843,0.7675,0.2325,3.52
0.2737,0.7742,0.2258,3.65
0.2585,0.7841,0.2159,3.87
0.1845,0.8357,0.1643,5.42
0.3455,0.731,0.269,2.89
0.4035,0.6994,0.3006,2.48
0.1395,0.8706,0.1294,7.17
0.2589,0.7838,0.2162,3.86
0.2241,0.8073,0.1927,4.46
0.2231,0.808,0.192,4.48
0.1508,0.8616,0.1384,6.63
0.2737,0.7742,0.2258,3.65
0.1744,0.8433,0.1567,5.74
0.1953,0.8278,0.1722,5.12
0.2015,0.8233,0.1767,4.96
0.2565,0.7854,0.2146,3.9
0.1662,0.8496,0.1504,6.02
0.2484,0.7907,0.2093,4.03
0.268,0.7779,0.2221,3.73
0.2421,0.795,0.205,4.13
0.2067,0.8195,0.1805,4.84
0.1752,0.8427,0.1573,5.71
0.1576,0.8562,0.1438,6.35
0.2334,0.8009,0.1991,4.28
0.2431,0.7943,0.2057,4.11
0.1837,0.8364,0.1636,5.45
0.1927,0.8297,0.1703,5.19
0.2979,0.7591,0.2409,3.36
0.2392,0.7969,0.2031,4.18
0.2742,0.7739,0.2261,3.65
0.2645,0.7802,0.2198,3.78
0.2891,0.7645,0.2355,3.46
0.2568,0.7852,0.2148,3.89
0.1956,0.8276,0.1724,5.11
0.2531,0.7876,0.2124,3.95
0.2601,0.783,0.217,3.84
0.327,0.7416,0.2584,3.06
0.3172,0.7474,0.2526,3.15
0.2737,0.7743,0.2257,3.65
0.2592,0.7836,0.2164,3.86
0.1792,0.8397,0.1603,5.58
0.1768,0.8415,0.1585,5.65
0.2067,0.8195,0.1805,4.84
0.319,0.7463,0.2537,3.13
0.1592,0.855,0.145,6.28
0.2263,0.8057,0.1943,4.42
0.2682,0.7778,0.2222,3.73
0.2155,0.8132,0.1868,4.64
0.1026,0.9015,0.0985,9.75
0.1952,0.8279,0.1721,5.12
0.2758,0.7729,0.2271,3.63
0.2793,0.7707,0.2293,3.58
0.2186,0.8111,0.1889,4.57
0.1275,0.8804,0.1196,7.85
0.1744,0.8433,0.1567,5.73
0.1962,0.8271,0.1729,5.1
0.3856,0.7088,0.2912,2.59
0.2078,0.8187,0.1813,4.81
0.2027,0.8224,0.1776,4.93
0.2064,0.8197,0.1803,4.84
0.2164,0.8127,0.1873,4.62
0.1706,0.8462,0.1538,5.86
0.3424,0.7327,0.2673,2.92
0.2308,0.8026,0.1974,4.33
0.1898,0.8318,0.1682,5.27
0.2897,0.7642,0.2358,3.45
0.2181,0.8115,0.1885,4.59
0.2754,0.7732,0.2268,3.63
0.2751,0.7734,0.2266,3.64
0.2348,0.7999,0.2001,4.26
0.3045,0.755,0.245,3.28
0.2696,0.7768,0.2232,3.71
0.2271,0.8052,0.1948,4.4
0.2473,0.7914,0.2086,4.04
0.0933,0.9096,0.0904,10.72
0.2538,0.7872,0.2128,3.94
0.1841,0.836,0.164,5.43
0.1396,0.8705,0.1295,7.16
0.2206,0.8097,0.1903,4.53
0.3458,0.7308,0.2692,2.89
0.2341,0.8004,0.1996,4.27
0.3242,0.7433,0.2567,3.08
0.1493,0.8628,0.1372,6.7
0.296,0.7603,0.2397,3.38
0.3268,0.7417,0.2583,3.06
0.231,0.8025,0.1975,4.33
0.2478,0.7911,0.2089,4.03
0.2627,0.7813,0.2187,3.81
0.2081,0.8185,0.1815,4.81
0.3216,0.7448,0.2552,3.11
0.2286,0.8041,0.1959,4.37
0.2466,0.792,0.208,4.06
0.2591,0.7836,0.2164,3.86
0.1932,0.8293,0.1707,5.18
0.1675,0.8486,0.1514,5.97
0.1267,0.8811,0.1189,7.89
0.2685,0.7776,0.2224,3.72
0.1742,0.8435,0.1565,5.74
0.3458,0.7308,0.2692,2.89
0.2884,0.765,0.235,3.47
0.2558,0.7858,0.2142,3.91
0.1902,0.8315,0.1685,5.26
0.2257,0.8062,0.1938,4.43
0.3172,0.7474,0.2526,3.15
0.1231,0.8841,0.1159,8.13
0.3168,0.7476,0.2524,3.16
0.3114,0.7509,0.2491,3.21
0.1784,0.8403,0.1597,5.6
0.2975,0.7593,0.2407,3.36
0.2717,0.7755,0.2245,3.68
0.2484,0.7907,0.2093,4.03
0.1562,0.8573,0.1427,6.4
0.2228,0.8082,0.1918,4.49
0.2292,0.8037,0.1963,4.36
0.3531,0.7267,0.2733,2.83
0.2427,0.7946,0.2054,4.12
0.2569,0.7851,0.2149,3.89
0.285,0.7671,0.2329,3.51
0.174,0.8436,0.1564,5.75
0.3694,0.7176,0.2824,2.71
0.1864,0.8343,0.1657,5.36
0.1751,0.8428,0.1572,5.71
0.1977,0.826,0.174,5.06
0.1946,0.8283,0.1717,5.14
0.2143,0.8141,0.1859,4.67
0.2224,0.8084,0.1916,4.5
0.183,0.8369,0.1631,5.47
0.1522,0.8604,0.1396,6.57
0.2569,0.7851,0.2149,3.89
0.2418,0.7952,0.2048,4.14
0.289,0.7646,0.2354,3.46
0.2246,0.807,0.193,4.45
0.3063,0.754,0.246,3.26
0.2185,0.8111,0.1889,4.58
0.2883,0.765,0.235,3.47
0.1311,0.8774,0.1226,7.63
0.3759,0.714,0.286,2.66
0.2218,0.8089,0.1911,4.51
0.2104,0.8169,0.1831,4.75
0.2231,0.8079,0.1921,4.48
0.2913,0.7632,0.2368,3.43
0.1706,0.8462,0.1538,5.86
0.2554,0.7861,0.2139,3.92
0.2547,0.7866,0.2134,3.93
0.2135,0.8147,0.1853,4.68
0.2934,0.7618,0.2382,3.41
0.2119,0.8158,0.1842,4.72
0.2568,0.7852,0.2148,3.89
0.3923,0.7052,0.2948,2.55
0.2764,0.7725,0.2275,3.62
0.2488,0.7905,0.2095,4.02
0.2917,0.7629,0.2371,3.43
0.2528,0.7878,0.2122,3.96
0.2239,0.8074,0.1926,4.47
0.2898,0.7641,0.2359,3.45
0.2186,0.8111,0.1889,4.57
0.3122,0.7504,0.2496,3.2
0.2292,0.8038,0.1962,4.36
0.2796,0.7705,0.2295,3.58
0.1602,0.8542,0.1458,6.24
0.3383,0.7351,0.2649,2.96
0.2449,0.793,0.207,4.08
0.2486,0.7906,0.2094,4.02
0.2231,0.8079,0.1921,4.48
0.1459,0.8654,0.1346,6.85
0.2214,0.8091,0.1909,4.52
0.197,0.8265,0.1735,5.07
0.2508,0.7891,0.2109,3.99
0.2095,0.8175,0.1825,4.77
0.243,0.7944,0.2056,4.12
0.2119,0.8158,0.1842,4.72
0.2472,0.7915,0.2085,4.04
0.29,0.764,0.236,3.45
0.1858,0.8348,0.1652,5.38
0.2974,0.7594,0.2406,3.36
0.232,0.8018,0.1982,4.31
0.2327,0.8013,0.1987,4.3
0.2447,0.7932,0.2068,4.09
0.2905,0.7637,0.2363,3.44
0.2628,0.7813,0.2187,3.81
0.2832,0.7682,0.2318,3.53
0.2609,0.7825,0.2175,3.83
0.4021,0.7001,0.2999,2.49
0.2743,0.7739,0.2261,3.65
0.2315,0.8022,0.1978,4.32
0.1741,0.8436,0.1564,5.75
0.1976,0.8261,0.1739,5.06
0.1995,0.8247,0.1753,5.01
0.2209,0.8095,0.1905,4.53
0.1292,0.879,0.121,7.74
0.3079,0.753,0.247,3.25
0.2628,0.7813,0.2187,3.81
0.1956,0.8275,0.1725,5.11
0.2487,0.7905,0.2095,4.02
0.2695,0.7769,0.2231,3.71
0.3534,0.7265,0.2735,2.83
0.2759,0.7728,0.2272,3.62
0.1298,0.8785,0.1215,7.7
0.2242,0.8072,0.1928,4.46
0.1524,0.8603,0.1397,6.56
0.1336,0.8754,0.1246,7.48
0.2875,0.7655,0.2345,3.48
0.2679,0.778,0.222,3.73
0.2334,0.8009,0.1991,4.28
0.2079,0.8186,0.1814,4.81
0.3773,0.7133,0.2867,2.65
0.2601,0.783,0.217,3.84
0.1213,0.8856,0.1144,8.25
0.2217,0.809,0.191,4.51
0.2327,0.8013,0.1987,4.3
0.1932,0.8293,0.1707,5.18
0.2148,0.8138,0.1862,4.66
0.2754,0.7732,0.2268,3.63
0.1826,0.8371,0.1629,5.48
0.3029,0.756,0.244,3.3
0.3338,0.7377,0.2623,3.0
0.2061,0.8199,0.1801,4.85
0.2899,0.764,0.236,3.45
0.2732,0.7745,0.2255,3.66
0.3236,0.7436,0.2564,3.09
0.2657,0.7794,0.2206,3.76
0.2553,0.7862,0.2138,3.92
0.2509,0.789,0.211,3.98
0.1216,0.8853,0.1147,8.23
0.2281,0.8045,0.1955,4.38
0.265,0.7798,0.2202,3.77
0.28,0.7702,0.2298,3.57
0.2388,0.7972,0.2028,4.19
0.3338,0.7376,0.2624,3.0
0.2653,0.7796,0.2204,3.77
0.1796,0.8394,0.1606,5.57
0.2479,0.791,0.209,4.03
0.2354,0.7995,0.2005,4.25
0.3041,0.7553,0.2447,3.29
0.2547,0.7866,0.2134,3.93
0.2704,0.7763,0.2237,3.7
0.2842,0.7676,0.2324,3.52
0.2999,0.7579,0.2421,3.33
0.2308,0.8026,0.1974,4.33
0.1802,0.8389,0.1611,5.55
0.2386,0.7973,0.2027,4.19
0.1471,0.8645,0.1355,6.8
0.2364,0.7988,0.2012,4.23
0.3394,0.7344,0.2656,2.95
0.2282,0.8044,0.1956,4.38
0.1993,0.8248,0.1752,5.02
0.1231,0.8841,0.1159,8.13
0.3964,0.7031,0.2969,2.52
0.2938,0.7616,0.2384,3.4
0.2165,0.8126,0.1874,4.62
0.3021,0.7565,0.2435,3.31
0.1872,0.8337,0.1663,5.34
0.2402,0.7962,0.2038,4.16
0.2016,0.8232,0.1768,4.96
0.2718,0.7754,0.2246,3.68
0.2981,0.759,0.241,3.35
0.2262,0.8058,0.1942,4.42
0.2034,0.8219,0.1781,4.92
0.3416,0.7332,0.2668,2.93
0.3249,0.7429,0.2571,3.08
0.1768,0.8415,0.1585,5.65
